Symbol,Company,Market,Industry,Sector,Auditor,Auditor_Original,Audit_fee,Audit_fee(Sub),Other_fee,Other_fee(Sub),Totat_audit_fee,Totat_other_fee,รวมสินทรัพย์,รายได้จากการดำเนินงาน,match
2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,BDO AUDIT COMPANY LIMITED,บริษัท บีดีโอ ออดิท จำกัด,"1,800,000.00","480,000.00","363,701.44","27,740.00","2,280,000.00","391,441.44","2,379,620,000.00","7,600,640,000.00",
3BBIF,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"1,709,000.00",,0,,"1,709,000.00",0,"79,524,640,000.00","7,516,900,000.00",
88TH,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,350,000.00",,0,,"2,350,000.00",0,"555,440,000.00","658,780,000.00",
A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"DHARMNITI AUDITING CO., LTD.",N/A,,,,,,,"14,114,690,000.00","712,770,000.00",
A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"D I A INTERNATIONAL AUDIT CO.,LTD.",บริษัท สอบบัญชี ดี ไอ เอ อินเตอร์เนชั่นแนล จำกัด,"2,415,000",,0,,"2,415,000",0,"3,703,700,000.00","1,317,050,000.00",
AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,140,000.00",,"80,000.00",,"2,140,000.00","80,000.00","5,589,100,000.00","7,138,870,000.00",
AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,BDO AUDIT COMPANY LIMITED,บริษัท บีดี้โอ ออดิท จำกัด,900000,3750000,,,4650000,,"76,337,680,000.00","49,402,030,000.00",
ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),mai,ทรัพยากร,-,A&A OFFICE COMPANY LIMITED,บริษัท สำนักงาน เอ แอนด์ เอ จำกัด,"1,450,000.00","1,227,000.00",0,0,"2,677,000.00",0,"1,462,600,000.00","2,039,360,000.00",
ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,"SAMNAK-NGAN A.M.C. CO., LTD.",บริษัท สำนักงาน เอ เอ็ม ซี จำกัด,2740000,,,,2740000,,"2,486,160,000.00","131,680,000.00",
ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,KARIN AUDIT COMPANY LIMITED,ไม่ระบุในแหล่งข้อมูล,,,,,,,"630,370,000.00","166,600,000.00",
