company_name,commission_thb,insurance_revenue_2025_thb,insurance_revenue_2024_thb,insurance_service_result_thb,net_investment_income_2025_thb,total_equity_2025_thb,retained_earnings_2025_thb
ALLIANZ AYUDHYA,NaN,27360000000,25217000000,11131000000,-475000000,19732000000,NaN
BANGKOK LIFE,1104779000,13234860000,12954752000,4437476000,12470061000,55188937000,43243631000
BUI LIFE,2239941,63727644,39402356,10240703,32111259,443263925,-62320371
CHUBB LIFE,NaN,5453009568,4215366488,549637813,769121327,NaN,NaN
DHIPAYA LIFE,NaN,3777589953,3008981671,161099158,1798836067,6017754347,2893477650
FWD,NaN,27175494000,26741234000,8019631000,21645184000,72921844000,43816247000
KRUNGTHAI AXA,1868624000,25020989000,22178397000,8587744000,9579778000,31786748000,28106522000
SOUTHEAST LIFE,1576025000,3578127000,3688297000,1076173000,2546741000,9517912000,7932856000
THAI LIFE,11552354000,35954787000,32811372000,13053545000,19286551000,154477719000,83883778000
TOKIO MARINE,NaN,5418284988,5133148656,NaN,7182517203,NaN,NaN
THAIRE LIFE,528115000,2539005148,2676092791,4520829,63335000,500629613,-178761286
